alias,truename
napantochskoly,"Na pántoch, školy"
napantochstred,"Na pántoch, stred"
ovsiste,Ovsište
ovsistskenam,Ovsištské nám.
miupbiskupice,MiÚ P. Biskupice
zabimajer,žabí majer
cvernovka,Cvernovka
kralovskeudolie,Kráľovské údolie
partizanska,Partizánska
pastierska,Pastierska
patronka,Patrónka
pazitkova,Pažítková
ciernyles,Čierny les
peknacesta,Pekná cesta
pernikova,Pekníkova
avionikea,"AVION, IKEA"
petofiho,Petőfiho
pila,Píla
pionierska,Pionierska
plynarenska,Plynárenská
podnasypom,Pod násypom
podhaj,Podháj
podzahradna,Podzáhradná
polianky,Polianky
pdpbiskupice,PD P. Biskupice
kamenace,Kamenáče
postova,Poštová
povodiedunaja,Povodie Dunaja
povraznicka,Povraznícka
pracanska,Pračanská
podstanicou,Pod stanicou
landererova,Landererová
nemocnicaruzinov,Nemocnica Ružinov
prikrematoriu,Pri krematóriu
prikrizi,Pri kríži
primlyne,Pri mlyne
prinadjazde,Pri nadjazde
pripodchode,Pri podchode
ocvajnory,OC Vajnory
suchymlyn,Suchý mlyn
rakyta,Rakyta
prizahradach,Pri záhradách
prizvonici,Pri zvonici
pribylinska,Pribylinská
pridanky,Pridánky
priekopnicka,Priekopnícka
mikulasovdvor,Mikulášov dvor
podzecakom,Pod Zečákom
prievozmost,"Prievoz, most"
prievozska,Prievozská
nakladnypristav,Nákladný prístav
pristavna,Prístavná
pristavnymost,Prístavný most
plniarenplynu,Plniareň plynu
prokopavelkeho,Prokopa Veľkého
miuraca,MiÚ Rača
racianskemyto,Račianske mýto
radiova,Rádiová
radnicnenam,Radničné nám.
radvanska,Radvanská
rajska,Rajská
riazanska,Riazanská
ribezlova,Ríbezľová
romanova,Romanova
shoppingpalace,Shopping Palace
gerulata,Gerulata
rusovskacesta,Rusovská cesta
suhvezdna,Súhvezdná
ruzovadolina,Ružová dolina
drienovskeluky,Drieňovské lúky
sabinovska,Sabinovská
sadjankakrala,Sad Janka Kráľa
sady,Sady
morava,Morava
segnare,Segnáre
segnerova,Segnerova
janajonasa,Jána Jonáša
sklabinska,Sklabinská
podkerepusky,Podkerepušky
cintorinslavicie,Cintorín Slávičie
zoo,Zoo
sliacska,Sliačska
slovnararchiv,Slov. nár. archív
slovinska,Slovinská
vlciehrdlo,Vlčie hrdlo
zajacie,Zajačie
slovnaftska,Slovnaftská
slowackeho,Slowackého
malydrazdiak,Malý Draždiak
smolenicka,Smolenická
sokolska,Sokolská
solivarska,Solivarská
mlaka,Mláka
strmevrsky,Strmé vŕšky
spalovna,Spaľovňa
spolocenska,Spoločenská
nakrizovatkach,Na križovatkách
stareihrisko,Staré ihrisko
starohajska,Starohájska
starykamenolom,Starý kameňolom
stavbarska,Stavbárska
stavitelska,Staviteľská
staviva,Stavivá
huscavova,Húščavova
stolarska,Stolárska
strecnianska,Strečnianska
strelnica,Strelnica
strojnicka,Strojnícka
panske,Panské
stromova,Stromová
studenohorska,Studenohorská
prisade,Pri Sade
sumracna,Súmračná
nusch,NÚSCH
safarikovonam,Šafárikovo nám.
safranova,Šafranová
sikma,Šikmá
sintavska,Šintavská
sipova,Šípová
miuvrakuna,MiÚ Vrakuňa
soltesovej,Šoltésovej
spitalska,Špitálska
sprinzlovmajer,Šprinclov majer
topolove,Topoľové
gastanovaaleja,Gaštanová aleja
stefanakralika,Štefana Králika
stepna,Štepná
strbska,Štrbská
sulekova,Šulekova
sustekova,Šustekova
svabinskeho,Švabinského
svantnerova,Švantnerova
tbiliska,Tbiliská
tehelna,Tehelná
stu,STU
technicka,Technická
technickesklo,Technické sklo
puchovska,Púchovská
kutlikova,Kutlíkova
televizia,Televízia
piesciny,Piesčiny
vinohradnicka,Vinohradnícka
uradbsk,Úrad BSK
tomankova,Tománkova
tomasikova,Tomášikova
topolcianska,Topoľčianska
toryska,Toryská
travna,Trávna
trencianska,Trenčianska
trnavskemyto,Trnavské mýto
trojdomy,Trojdomy
chatamsofer,Chatam Sófer
tupeho,Tupého
bratislavska,Bratislavská
ucitelska,Učiteľská
uhliska,Uhliská
29augusta,29. augusta
8maja,8. mája
ursinyho,Ursínyho
podgastanmi,Pod gaštanmi
rolnicka,Roľnícka
miuvajnory,MiÚ Vajnory
vajnory,Vajnory
valasska,Valašská
vapenka,Vápenka
studena,Studená
zaluzicka,Zálužická
kubacovankd,"Kubačova, NKD"
vlarska,Vlárska
sihot,Sihoť
vodostav,Vodostav
cervenymost,Červený most
regrutska,Regrútska
depojurajovdvor,Depo Jurajov dvor
depokrasnany,Depo Krasňany
depotrnavka,Depo Trnávka
podpriehradna,Podpriehradná
vrancovicova,Vrančovičova
vw1,"Jána Jonáša, VW1"
vychodne,Východné
vysoka,Vysoká
vysehradska,Vyšehradská
vyvojova,Vývojová
dolnekoruny,Dolné koruny
zahorska,Záhorská
zahorskabystrica,Záhorská Bystrica
saleziani,Saleziáni
farfuny,Fafruny
zahumenice,Záhumenice
stnlamac,Stn. Lamač
zamocka,Zámocká
zaporozska,Záporožská
kuchajda,Kuchajda
zavadska,Závadská
kopcianskastred,"Kopčianska, stred"
trnavskacesta,Trnavská cesta
kastielrusovce,Kaštieľ Rusovce
prisajbach,Pri Šajbách
dvojstudnovepolia,Dvojstudňové polia
zimnystadion,Zimný štadión
staravajnorska,Stará Vajnorská
zlatepiesky,Zlaté piesky
zlateschody,Zlaté schody
znievska,Znievska
zochova,Zochova
habanskymlyn,Habánsky mlyn
zsbudatinska,ZŠ Budatínska
zsmajernikova,ZŠ Majerníkova
zvoncekova,Zvončeková
zatevna,žatevná
zehrianska,žehrianska
zeleznastudnicka,železná studnička
zeleznicna,železničná
stareletisko,Staré letisko
zitavska,žitavská
stndevnovaves,Stn. Dev. Nová Ves
skerlicova,Skerličova
stnnovemesto,Stn. Nové Mesto
stnpbiskupice,Stn. P. Biskupice
stnpetrzalka,Stn. Petržalka
stnrusovce,Stn. Rusovce
stnuns,Stn. ÚNS
stnvajnory,Stn. Vajnory
stnvinohrady,Stn. Vinohrady
antolska,Antolská
potocna,Potočná
syslia,Syslia
prokofievova,Prokofievova
kopcianska,Kopčianska
vapencova,Vápencová
avionshoppark,Avion Shop. Park
paulinske,Paulinské
danubiana,Danubiana
vecunovo,VE Čunovo
subezna,Súbežná
prvosienkova,Prvosienková
staravinarska,Stará vinárska
slavin,Slavín
havlickova,Havlíčkova
misikova,Mišíkova
donovalova,Donovalova
priehrada,"Čunovo, priehrada"
arealvodsportov,Areál vod. športov
vw2,"Volkswagen, VW2"
tescolamac,Tesco Lamač
podunajska,Podunajská
vihorlatska,Vihorlatská
cintorinpetrzalka,Cintorín Petržalka
Pestovateľská,Pestovateľská
mostapollo,Most Apollo
trhovisko,Trhovisko
kalvaria,Kalvária
narevine,Na Revíne
junova,Júnová
cestanakamzik,Cesta na Kamzík
jaskovyrad,Jaskový rad
matuskova,Matúškova
zabotova,žabotova
rozvodna,Rozvodná
briezky,Briežky
lderera,L. Dérera
guothova,Guothova
visnova,Višňová
vajnorskypotok,Vajnorský potok
tuhovska,Tuhovská
pieskovyhon,Pieskový hon
sevcenkova,Ševčenkova
miuzahbystrica,MiÚ Záh. Bystrica
novesnd,Nové SND
bubnovka,Bubnovka
vhrdlozahrady,"V. hrdlo, záhrady"
vajnorska,Vajnorská
dargovska,Dargovská
nahrebienku,Na hrebienku
gercenova,Gercenova
podkralovouhorou,Pod Kráľovou horou
kuklovska,Kuklovská
solosnicka,Sološnická
sastinska,Šaštínska
betliarska,Betliarska
kalnejazero,Kalné jazero
spadovisko1,Spádovisko I
spadovisko2,Spádovisko II
zamajerske,Zamajerské
kamzik,Kamzík
cunovozahrady,"Čunovo, záhrady"
julova,Júlová
hajnicka,Hájnická
vretenova,Vretenová
nasitine,Na Sitine
bedlova,Bedľová
panorama,Panoráma
tonava,Tôňava
rudolfamocka,Rudolfa Mocka
konvalinkova,Konvalinková
nadvinicami,Nad vinicami
karpatskenam,Karpatské nám.
velkoluckypotok,Veľkolúcky potok
schengenska,Schengenská
cabanova,Cabanova
motysova,Moyšova
tranovskeho,Tranovského
konopnediely,Konopné diely
tulipanova,Tulipánová
vendelinska,Vendelínska
zlta,žltá
partizanskaluka,Partizánska lúka
tpkolakovica,T. P. Kolakoviča
ocslovnaftska,OC Slovnaftská
ocdubrawa,OC Dubrawa
ocbory,OC Bory
rudavska,Rudavská
prikaplnke,Pri kaplnke
pharos,Pharos
ocpatronka,OC Patrónka
mvemoson,MVE Mošoň
rostovska,Rostovská
opetalovavw5,"Opletalova, VW5"
armenska,Arménska
cudzineckapolicia,Cudzinecká polícia
detvianska,Detvianska
uradvladysr,Úrad vlády SR
ocraca,OC Rača
zsodborarska,ZŠ Odborárska
