uid,district,truename
225,Ružinov,Mliekarenská
226,Petržalka,Mlynarovičova
227,Devínska Nová Ves,Mlynská
228,Ružinov,Malý trh
229,Karlova Ves,Mokrohájska
230,Karlova Ves,Riviéra
231,Devín,Pod Dev. Kobylou
233,Nové Mesto,OC Stará Vajnorská
234,Ružinov,Líščie nivy
235,Petržalka,Muchovo nám.
236,Devínska Nová Ves,Na Grbe
237,Devínska Nová Ves,Pri Sandbergu
238,Rača,Na pasekách
240,Karlova Ves,Nad lúčkami
241,Petržalka,OC Lúky
242,Vajnory,"Vajnory, nadjazd"
243,Podunajské Biskupice,Nákupná
245,Nové Mesto,Nám. Biely kríž
246,Petržalka,Nám. hraničiarov
247,Rača,Nám. A.Hlinku
248,Staré Mesto,Nám. Ľ. Štúra
249,Devín,Cyril a Metod
250,Staré Mesto,Prezident. záhrada
252,Nové Mesto,Nár. onkol. ústav
253,Petržalka,Nemocnica Antolská
254,Podunajské Biskupice,Nem. P. Biskupice
255,Ružinov,Nevädzová
256,Nové Mesto,Nobelova
257,Nové Mesto,Nová doba
258,Ružinov,Novohradská
259,Devínska Nová Ves,Novoveská
260,Devín,Nový kameňolom
261,Staré Mesto,Most SNP
262,Rača,Malokrasňanská
263,Lamač,Hodonínska
264,Ružinov,DK Ružinov
265,Dúbravka,Podvornice
266,Nové Mesto,Kukučínova
267,Nové Mesto,Česká
268,Nové Mesto,Odborárska
271,Ružinov,Ondrejovova
272,Nové Mesto,Krahulčia
273,Vajnory,Osloboditeľská
274,Rača,"Na pántoch, školy"
275,Rača,"Na pántoch, stred"
276,Petržalka,Ovsište
277,Petržalka,Ovsištské nám.
278,Podunajské Biskupice,MiÚ P. Biskupice
279,Rača,žabí majer
280,Ružinov,Cvernovka
281,Staré Mesto,Kráľovské údolie
282,Staré Mesto,Partizánska
283,Rača,Pastierska
284,Staré Mesto,Patrónka
285,Ružinov,Pažítková
286,Ružinov,Čierny les
287,Rača,Pekná cesta
288,Dúbravka,Pekníkova
290,Ružinov,"AVION, IKEA"
291,Podunajské Biskupice,Petőfiho
292,Jarovce,Píla
293,Nové Mesto,Pionierska
294,Ružinov,Plynárenská
295,Lamač,Pod násypom
296,Lamač,Podháj
297,Podunajské Biskupice,Podzáhradná
298,Dúbravka,Polianky
299,Podunajské Biskupice,PD P. Biskupice
301,Devínska Nová Ves,Kamenáče
302,Staré Mesto,Poštová
303,Ružinov,Povodie Dunaja
304,Staré Mesto,Povraznícka
305,Vajnory,Pračanská
306,Staré Mesto,Pod stanicou
307,Staré Mesto,Landererová
308,Ružinov,Nemocnica Ružinov
309,Záhorská Bystrica,Pri krematóriu
310,Dúbravka,Pri kríži
311,Vajnory,Pri mlyne
312,Nové Mesto,Pri nadjazde
313,Karlova Ves,Pri podchode
314,Vajnory,OC Vajnory
315,Staré Mesto,Suchý mlyn
316,Devínska Nová Ves,Rakyta
317,Devín,Pri záhradách
318,Ružinov,Pri zvonici
319,Rača,Pribylinská
320,Lamač,Pridánky
